gene	series	occurrence_bin	n_alleles	alleles_per_k
HLA-B	cds_changing	129-256	0	0.0
HLA-B	cds_changing	257-512	0	0.0
HLA-B	cds_changing	513-1024	0	0.0
HLA-B	cds_changing	>1024	0	0.0
HLA-B	noncoding_only	1	41	41.0
HLA-B	noncoding_only	2	21	21.0
HLA-B	noncoding_only	3-4	7	3.5
HLA-B	noncoding_only	5-8	13	3.25
HLA-B	noncoding_only	9-16	10	1.25
HLA-B	noncoding_only	17-32	16	1.0
HLA-B	noncoding_only	33-64	18	0.5625
HLA-B	noncoding_only	65-128	8	0.125
HLA-B	noncoding_only	129-256	1	0.0078125
HLA-B	noncoding_only	257-512	0	0.0
HLA-B	noncoding_only	513-1024	0	0.0
HLA-B	noncoding_only	>1024	0	0.0
HLA-B	flagged_artifact	1	697	697.0
HLA-B	flagged_artifact	2	16	16.0
HLA-B	flagged_artifact	3-4	0	0.0
HLA-B	flagged_artifact	5-8	0	0.0
HLA-B	flagged_artifact	9-16	0	0.0
HLA-B	flagged_artifact	17-32	0	0.0
HLA-B	flagged_artifact	33-64	0	0.0
HLA-B	flagged_artifact	65-128	0	0.0
HLA-B	flagged_artifact	129-256	0	0.0
HLA-B	flagged_artifact	257-512	0	0.0
HLA-B	flagged_artifact	513-1024	0	0.0
HLA-B	flagged_artifact	>1024	0	0.0
HLA-C	known	1	149	149.0
HLA-C	known	2	35	35.0
HLA-C	known	3-4	44	22.0
HLA-C	known	5-8	27	6.75
HLA-C	known	9-16	24	3.0
HLA-C	known	17-32	13	0.8125
HLA-C	known	33-64	14	0.4375
HLA-C	known	65-128	9	0.140625
HLA-C	known	129-256	10	0.078125
HLA-C	known	257-512	14	0.0546875
HLA-C	known	513-1024	13	0.025390625
HLA-C	known	>1024	2	0.001953125
HLA-C	cds_changing	1	78	78.0
HLA-C	cds_changing	2	1	1.0
HLA-C	cds_changing	3-4	0	0.0
HLA-C	cds_changing	5-8	0	0.0
HLA-C	cds_changing	9-16	0	0.0
HLA-C	cds_changing	17-32	0	0.0
HLA-C	cds_changing	33-64	0	0.0
HLA-C	cds_changing	65-128	0	0.0
HLA-C	cds_changing	129-256	0	0.0
HLA-C	cds_changing	257-512	0	0.0
HLA-C	cds_changing	513-1024	0	0.0
HLA-C	cds_changing	>1024	0	0.0
HLA-C	noncoding_only	1	38	38.0
HLA-C	noncoding_only	2	2	2.0
HLA-C	noncoding_only	3-4	7	3.5
HLA-C	noncoding_only	5-8	4	1.0
HLA-C	noncoding_only	9-16	3	0.375
HLA-C	noncoding_only	17-32	6	0.375
HLA-C	noncoding_only	33-64	10	0.3125
HLA-C	noncoding_only	65-128	5	0.078125
HLA-C	noncoding_only	129-256	3	0.0234375
HLA-C	noncoding_only	257-512	0	0.0
HLA-C	noncoding_only	513-1024	0	0.0
HLA-C	noncoding_only	>1024	0	0.0
HLA-C	flagged_artifact	1	780	780.0
HLA-C	flagged_artifact	2	20	20.0
HLA-C	flagged_artifact	3-4	2	1.0
HLA-C	flagged_artifact	5-8	0	0.0
HLA-C	flagged_artifact	9-16	0	0.0
HLA-C	flagged_artifact	17-32	0	0.0
HLA-C	flagged_artifact	33-64	0	0.0
HLA-C	flagged_artifact	65-128	0	0.0
HLA-C	flagged_artifact	129-256	0	0.0
HLA-C	flagged_artifact	257-512	0	0.0
HLA-C	flagged_artifact	513-1024	0	0.0
HLA-C	flagged_artifact	>1024	0	0.0
HLA-DPA1	known	1	31	31.0
HLA-DPA1	known	2	10	10.0
HLA-DPA1	known	3-4	10	5.0
HLA-DPA1	known	5-8	9	2.25
HLA-DPA1	known	9-16	16	2.0
HLA-DPA1	known	17-32	12	0.75
HLA-DPA1	known	33-64	10	0.3125
HLA-DPA1	known	65-128	11	0.171875
HLA-DPA1	known	129-256	1	0.0078125
HLA-DPA1	known	257-512	8	0.03125
HLA-DPA1	known	513-1024	4	0.0078125
HLA-DPA1	known	>1024	7	0.0068359375
HLA-DPA1	cds_changing	1	38	38.0
HLA-DPA1	cds_changing	2	1	1.0
HLA-DPA1	cds_changing	3-4	0	0.0
HLA-DPA1	cds_changing	5-8	0	0.0
